pw_session_id;pw_event_id;pw_search_category;pw_search_keyword;pw_search_results_count
6406984961;21614792171;zoeken;speciaal onderwijs;5430
6406987089;21615110913;zoeken;adoptie verlof;200
6406987089;21615140981;zoeken;studieverlof;100
6406989893;21614829817;zoeken;opleidingen hbo;1360
6406989893;21614858639;zoeken;hbo opleidingen;1360
6406998717;21614879511;zoeken;<anonimized>;0
6406998717;21614882261;zoeken;ncoi;80
6406999705;21615112523;zoeken;2024;20750
6406999705;21615124713;zoeken;2024;20750
6406999705;21615325259;zoeken;2024;20750
6406999705;21615428647;zoeken;2024;20750
6407006485;21614957173;zoeken;Hemelvaartsdag;100
6407009353;21614893305;zoeken;onderwijswetenschapper;10
6407020033;21614942403;zoeken;studiefinanciering;170
6407022553;21614958043;zoeken;landelijke kaders studentenwelzijnt;0
6407023003;21614956051;zoeken;maatwerk;5820
6407023003;21615057211;zoeken;maatwerk;5840
6407023003;21615086711;zoeken;maatwerk;5840
6407023003;21615094763;zoeken;maatwerkafspraken;720
6407023003;21615096085;zoeken;maatwerkafspraken;720
6407023003;21615117645;zoeken;maatwerkafspraken;720
6407023189;21614958745;zoeken;<anonimized>;0
6407026879;21614984041;zoeken;Vakantie;4800
6407026879;21614990427;zoeken;Wanneer schoolvakantie;380
6407029517;21614986155;zoeken;Buitenland;19500
6407033869;21614999797;Rapport;Verkeer;2550
6407033869;21615101507;Rapport;auto's;970
6407033869;21615115151;Rapport;parkeren;330
6407033869;21615121915;Rapport;parkeren;330
6407033869;21615130221;Rapport;parkeren;330
6407033869;21615154701;Rapport;Amsterdam;4260
6407033869;21615192339;Rapport;Amsterdam;4260
6407033869;21615210485;Rapport;Amsterdam;4260
6407033869;21615221417;Rapport;Amsterdam;4260
6407033869;21615241115;Rapport;parkeergelegenheid;60
6407033869;21615243451;Rapport;roken;270
6407033869;21615257349;Rapport;vergrijzing;390
6407038031;21615033731;zoeken;Collegeleden hbo Leiden;0
6407039711;21615026879;zoeken;bsa;30
6407047325;21615056471;zoeken;Eindexamen;1000
